,sector,StartDate,Category,activity,Indicator,Indicator2,Governorate,Gender,Partner,SiteType,appeal,Fundedby,allocation,rcode,gcode,Value,Units,location,region,poptype
20792,WASH,30/7/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Women,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,4564,# of benef,Azraq Camp,North,Camp
20885,WASH,30/7/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Girls,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,5388,# of benef,Azraq Camp,North,Camp
20917,WASH,30/6/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,419,# of benef,Azraq Camp,North,Camp
20924,WASH,30/7/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,5750,# of benef,Azraq Camp,North,Camp
20997,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,5331,# of benef,Azraq Camp,North,Camp
21607,WASH,30/6/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,264,# of benef,Azraq Camp,North,Camp
21608,WASH,30/1/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,2849,# of benef,Azraq Camp,North,Camp
21609,WASH,30/1/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Boys,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,3314,# of benef,Azraq Camp,North,Camp
22099,WASH,30/7/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,4403,# of benef,Azraq Camp,North,Camp
22542,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,4138,# of benef,Azraq Camp,North,Camp
22662,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Camps Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,AZRAQCAMP,Men,WVI,Camp    - ,Indirect appeal,UNICEF,No,1,1712,2849,# of benef,Azraq Camp,North,Camp
9307,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,3,# of benef,Irbid Governorate,North,Host Community
10195,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,5,# of benef,Irbid Governorate,North,Urban
10317,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,5,# of benef,Irbid Governorate,North,Urban
10358,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,4,# of benef,Irbid Governorate,North,Urban
10359,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,49,# of benef,Irbid Governorate,North,Urban
10681,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,2,# of benef,Irbid Governorate,North,Host Community
10691,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,3,# of benef,Irbid Governorate,North,Host Community
10803,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,33,# of benef,Irbid Governorate,North,Urban
10896,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,3,# of benef,Irbid Governorate,North,Host Community
10925,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,6,# of benef,Irbid Governorate,North,Urban
10926,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,42,# of benef,Irbid Governorate,North,Urban
11060,WASH,30/5/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,51,# of benef,Irbid Governorate,North,Urban
12316,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,KARAK,Boys,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1704,1,# of benef,Karak Governorate,South,Host Community
12343,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,KARAK,Men,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1704,1,# of benef,Karak Governorate,South,Host Community
12354,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,KARAK,Girls,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1704,2,# of benef,Karak Governorate,South,Host Community
12369,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,KARAK,Women,Caritas,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,3,1704,3,# of benef,Karak Governorate,South,Host Community
8568,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,4,# of benef,Liwa ar Ramtha,North,Host Community
8696,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,43,# of benef,Liwa ar Ramtha,North,Host Community
8810,WASH,30/3/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,31,# of benef,Liwa ar Ramtha,North,Host Community
8938,WASH,30/3/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,91,# of benef,Liwa ar Ramtha,North,Urban
9167,WASH,30/3/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Men,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,88,# of benef,Liwa ar Ramtha,North,Urban
9168,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Men (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Men,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,62,# of benef,Liwa ar Ramtha,North,Urban
9178,WASH,30/3/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,75,# of benef,Liwa ar Ramtha,North,Urban
9179,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,86,# of benef,Liwa ar Ramtha,North,Urban
9181,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,7,# of benef,Liwa ar Ramtha,North,Host Community
9533,WASH,28/2/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,7,# of benef,Liwa ar Ramtha,North,Host Community
9534,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,58,# of benef,Liwa ar Ramtha,North,Host Community
9535,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Urban/Rural Syrian Women (Age 18 and above) # with access to potable water  as per the agreed minimum standards.,IRBID,Women,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,73,# of benef,Liwa ar Ramtha,North,Urban
9539,WASH,30/4/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Girls (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Girls,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,44,# of benef,Liwa ar Ramtha,North,Host Community
9540,WASH,30/3/2015,Access to Safe Water,[REF1.2]Piped water networks,# with access to potable water  as per the agreed minimum standards.,Host Community Boys (Age 0-17) # with access to potable water  as per the agreed minimum standards.,IRBID,Boys,ACF,   Urban areas - ,Direct appeal,None - Fund direct from Donors,Yes,1,1707,44,# of benef,Liwa ar Ramtha,North,Host Community
